time,wx (rad/s),wy (rad/s),wz (rad/s)
1.589735,0.27,1.23,-0.06
1.592346,0.25,1.29,-0.11
1.594354,0.23,1.35,-0.15
1.597013,0.21,1.39,-0.19
1.599655,0.20,1.42,-0.23
1.601379,0.18,1.43,-0.27
1.603829,0.17,1.44,-0.32
1.606300,0.15,1.45,-0.37
1.608853,0.14,1.46,-0.42
1.611367,0.12,1.46,-0.48
1.614085,0.10,1.44,-0.54
1.616280,0.07,1.42,-0.59
1.619371,0.03,1.40,-0.65
1.621223,0.00,1.37,-0.71
1.624978,-0.04,1.34,-0.78
1.626395,-0.07,1.31,-0.85
1.628668,-0.10,1.29,-0.91
1.631109,-0.12,1.27,-0.98
1.633841,-0.14,1.24,-1.05
1.636069,-0.16,1.22,-1.12
1.639070,-0.17,1.20,-1.16
1.641285,-0.17,1.17,-1.20
1.643388,-0.17,1.14,-1.24
1.646162,-0.18,1.12,-1.27
1.648562,-0.19,1.09,-1.29
1.650773,-0.19,1.06,-1.32
1.653329,-0.19,1.05,-1.34
1.655662,-0.19,1.04,-1.37
1.658917,-0.23,1.13,-1.41
1.661300,-0.31,1.38,-1.45
1.663411,-0.38,1.54,-1.41
1.665758,-0.44,1.57,-1.34
1.668116,-0.45,1.52,-1.25
1.670535,-0.42,1.38,-1.17
1.673011,-0.36,1.21,-1.11
1.675672,-0.33,1.15,-1.06
1.679351,-0.33,1.15,-1.01
1.680800,-0.36,1.27,-0.97
1.683112,-0.43,1.51,-0.98
1.685606,-0.46,1.59,-1.04
1.688043,-0.45,1.58,-1.09
1.691096,-0.42,1.65,-1.08
1.692883,-0.44,1.82,-0.98
1.695406,-0.46,1.85,-0.91
1.698622,-0.47,1.80,-0.89
1.700752,-0.49,1.77,-0.90
1.702742,-0.49,1.78,-0.93
1.705171,-0.50,1.84,-0.97
1.711024,-0.51,1.92,-1.02
1.711461,-0.51,2.01,-1.12
1.712788,-0.54,2.18,-1.20
1.715131,-0.60,2.35,-1.25
1.718354,-0.68,2.45,-1.26
1.720012,-0.74,2.51,-1.27
1.722530,-0.81,2.54,-1.30
1.725068,-0.87,2.53,-1.32
1.727557,-0.91,2.54,-1.35
1.729925,-0.96,2.56,-1.39
1.732467,-1.00,2.52,-1.44
1.735055,-1.04,2.43,-1.51
1.737995,-1.06,2.44,-1.55
1.741515,-1.08,2.50,-1.58
1.742618,-1.09,2.59,-1.59
1.744929,-1.10,2.68,-1.58
1.747450,-1.11,2.77,-1.57
1.750085,-1.13,2.84,-1.55
1.752400,-1.16,2.91,-1.55
1.754707,-1.21,2.98,-1.57
1.758047,-1.28,3.03,-1.61
1.759578,-1.35,3.08,-1.66
1.762235,-1.43,3.14,-1.74
1.764536,-1.49,3.20,-1.81
1.766952,-1.55,3.29,-1.89
1.769626,-1.61,3.42,-1.98
1.772112,-1.65,3.57,-2.06
1.774717,-1.69,3.73,-2.14
1.778030,-1.73,3.89,-2.22
1.779693,-1.77,4.07,-2.30
1.782278,-1.80,4.25,-2.41
1.784238,-1.84,4.40,-2.51
1.787003,-1.87,4.52,-2.64
1.789198,-1.89,4.53,-2.79
1.791720,-1.88,4.51,-2.97
1.794136,-1.87,4.52,-3.17
1.797225,-1.85,4.62,-3.36
1.799326,-1.83,4.71,-3.55
1.801695,-1.80,4.65,-3.73
1.804355,-1.76,4.42,-3.90
1.811644,-1.71,4.12,-4.04
1.812301,-1.66,3.86,-4.18
1.812982,-1.61,3.56,-4.28
1.814505,-1.58,3.22,-4.33
1.817200,-1.55,2.95,-4.36
1.818992,-1.53,2.76,-4.39
1.821512,-1.51,2.60,-4.42
1.827623,-1.50,2.51,-4.45
1.828120,-1.49,2.43,-4.48
1.828713,-1.43,2.19,-4.46
1.831112,-1.34,1.91,-4.42
1.833765,-1.23,1.69,-4.36
1.836625,-1.10,1.44,-4.27
1.838628,-0.95,1.14,-4.14
1.840979,-0.77,0.79,-3.98
1.843618,-0.59,0.37,-3.79
1.846285,-0.40,-0.12,-3.56
1.848621,-0.21,-0.68,-3.31
